variable,mean,sd,ess_bulk,rhat,CI_2_5,CI_5,CI_10,CI_25,CI_75,CI_90,CI_95,CI_97_5,p_positive,model
zme_1[22],1.036596103465,0.2551066431499181,3512.4759316179343,1.0009501573116986,0.549258975,0.62353285,0.7139913,0.862625,1.2055224999999998,1.36603,1.465987,1.5489309999999998,1,dHe_27
zme_1[23],-0.16002142005938,0.2525419588500337,3861.6169043544974,1.0008394149478093,-0.6599538249999999,-0.5798585999999999,-0.4876449,-0.32759175,0.012357725,0.1600677000000002,0.24784539999999997,0.3269458249999999,0.2668,dHe_27
zme_1[24],-0.418184013641245,0.5182056047121884,13642.697042831565,1.0005021674685484,-1.446113,-1.2795005000000002,-1.086231,-0.75970925,-0.0749124,0.24159930000000016,0.4251845499999996,0.5888923999999999,0.20715,dHe_27
zme_1[25],-0.524650378952809,0.27394317785805106,3782.2889666653596,1.0009954854206102,-1.0781805,-0.9848819,-0.8792807,-0.70316175,-0.3376335,-0.17775309999999925,-0.08129220000000002,-0.0029809305000001144,0.02445,dHe_27
zme_1[26],0.0942044662504625,0.21187785097847917,2864.0799149426234,1.0009678352000113,-0.31913030000000003,-0.25366954999999997,-0.17748219999999998,-0.050080775,0.23730225,0.3663332,0.44041045,0.5110147499999994,0.67025,dHe_27
zme_1[27],0.7422155251621,0.40871106631328225,9666.170303895575,1.0004853072323616,-0.038368292500000005,0.08159032499999999,0.2266783,0.465767,1.01215,1.2721900000000006,1.4277934999999997,1.556795499999996,0.96845,dHe_27
b_Intercept,0.323856997435375,0.22567935250362253,4724.166068651273,1.0003796749466378,-0.108498825,-0.03566838,0.03823654,0.170634,0.46803,0.61635,0.6998882999999999,0.7808074999999999,0.928625,dHe_tranR_27
b_tran_R,0.0358825172913875,0.030866239640759775,6623.401644581178,1.0003894268972597,-0.025132425,-0.013559559999999998,-0.0029157779999999973,0.015902325000000002,0.056103824999999996,0.07434212999999999,0.085645925,0.09665409749999998,0.88075,dHe_tranR_27
bsp_medHedHE_er,0.964280407380375,0.649731146511129,5967.73068507095,1.0001934525167453,-0.34247625,-0.13666174999999994,0.12333760000000012,0.53654025,1.4020575,1.7819800000000001,2.0112529999999995,2.209196,0.928875,dHe_tranR_27
sd_Study__Intercept,0.5293219193244,0.2560505717091394,1038.875303032262,1.0028711655512148,0.0486253075,0.091229595,0.1785718,0.35331375,0.6987137499999999,0.8503704000000001,0.941535399999999,1.0281069999999997,1,dHe_tranR_27
sigma,0.6097885805,0.15786641064463175,1349.6112610575215,1.0017287990258754,0.35397375,0.38239704999999996,0.41789460000000006,0.49301975,0.7099735,0.8222206000000001,0.8864671,0.9550482249999998,1,dHe_tranR_27
"r_Study[Arrendal.(2004),Intercept]",-0.129349917073215,0.34511963589642064,6365.8283097682015,1.0003506875968429,-0.853947075,-0.72396355,-0.5752502999999999,-0.34374025,0.08329205,0.28080820000000006,0.41460729999999985,0.5480014499999999,0.354375,dHe_tranR_27
"r_Study[Bateson.(2014),Intercept]",-0.47578402933950376,0.4836723262215184,2038.5877223671582,1.0006497580105262,-1.5075475,-1.332255,-1.140297,-0.8019824999999999,-0.093406425,0.07209310000000002,0.18469779999999997,0.3101967749999992,0.16025,dHe_tranR_27
"r_Study[Fitzpatrick.(2016),Intercept]",0.7145142441154078,0.5344570069220307,1530.7316562542726,1.0015064602220056,-0.11566087499999998,-0.03977925499999999,0.024354200000000006,0.2805335,1.08445,1.425998,1.6309049999999987,1.8226997499999995,0.92275,dHe_tranR_27
"r_Study[Gustafson.(2017),Intercept]",-0.11516428107130387,0.3879789028536031,7982.633073613518,1.0005703224089477,-0.939893,-0.7921463500000001,-0.6193308999999999,-0.34395675,0.11594375,0.3388338000000001,0.4814855499999999,0.6363414499999996,0.39,dHe_tranR_27
"r_Study[Hasselgren.(2018),Intercept]",0.09728063167010012,0.38059837621860354,9342.862883633368,1.000886982374764,-0.6375137000000001,-0.5150695000000001,-0.3598112,-0.12383575,0.33304775,0.5852141000000002,0.7546396999999999,0.8948254999999992,0.590125,dHe_tranR_27
"r_Study[Heber.(2013),Intercept]",0.2991626455490875,0.3648179337841814,3719.2381200977684,1.0005030266652906,-0.35692674999999996,-0.23006395,-0.11500729999999998,0.035806725,0.53488625,0.7856415000000005,0.9297448999999999,1.0710127499999997,0.799625,dHe_tranR_27
"r_Study[Hedrick.(2004),Intercept]",-0.273993157733537,0.4141704738083038,4309.92146171121,1.0007044387434936,-1.1691399999999998,-1.004576,-0.8304668999999999,-0.54234525,0.0021533675,0.19625160000000025,0.34496604999999936,0.4796528499999999,0.25475,dHe_tranR_27
"r_Study[Johnson.(2010),Intercept]",0.284100086538825,0.4274941753688993,3560.956258496907,1.0002804203177718,-0.47987257499999997,-0.3331882,-0.1944476,-0.0014641349999999999,0.55111325,0.8608136000000003,1.0343394999999995,1.2050312500000002,0.7465,dHe_tranR_27
"r_Study[Kronenberger.(2018),Intercept]",-0.36920814966356125,0.3850245790043196,2934.056133773828,1.000973118773801,-1.1721707499999998,-1.0409575,-0.8812045,-0.6281995,-0.07389565000000001,0.08132166000000002,0.19077069999999993,0.2928730749999999,0.173125,dHe_tranR_27
"r_Study[Madsen.(2020),Intercept]",0.405467191013315,0.4543733617812863,2651.817858083431,1.0005202838204856,-0.34549472499999995,-0.23538314999999996,-0.1011816,0.0573042,0.7038789999999999,1.02886,1.2175334999999996,1.3814579999999999,0.811875,dHe_tranR_27
"r_Study[Miller.(2020),Intercept]",-0.5009823921122458,0.48531834790452716,2249.6315379361454,1.0011402781126786,-1.5221407500000002,-1.3499255,-1.1640610000000002,-0.834425,-0.109457,0.05419470000000011,0.16311669999999934,0.2892808999999996,0.146875,dHe_tranR_27
"r_Study[Mussman.(2016),Intercept]",-0.1741395330684625,0.5766875480346574,5872.347091576781,1.0010608446116371,-1.4346724999999998,-1.1794289999999998,-0.8810271999999999,-0.47187,0.13962,0.46077200000000007,0.696573649999999,0.933190474999999,0.379125,dHe_tranR_27
"r_Study[Olson.(2012),Intercept]",-0.057891949749615,0.3307244234089906,8716.514779116946,1.000067066041805,-0.736356675,-0.61126495,-0.48450599999999994,-0.25984025,0.13945775,0.3375188000000002,0.4763326999999987,0.5977088499999998,0.43825,dHe_tranR_27
"r_Study[Poirier.(2019),Intercept]",-0.14651091725141,0.39531333362499277,6856.242619623457,0.999947894210381,-0.9986441999999999,-0.8263197,-0.6599451999999999,-0.38610500000000003,0.087529775,0.3115123000000001,0.46934879999999995,0.6193260249999998,0.358625,dHe_tranR_27
"r_Study[Quinn.(2019),Intercept]",-0.04258074433850625,0.39539819352942684,10697.705027913305,1.0004509448241352,-0.8657524249999999,-0.7049771,-0.5340594000000001,-0.27243949999999995,0.18689925,0.43637480000000045,0.6000651999999995,0.7684479999999999,0.45175,dHe_tranR_27
