variable,mean,sd,ess_bulk,rhat,CI_2_5,CI_5,CI_10,CI_25,CI_75,CI_90,CI_95,CI_97_5,p_positive,model
"r_Study[Kronenberger.(2018),Intercept]",-0.42508589092001,0.40156568440911317,3023.4911443670367,1.002286988436203,-1.2399277499999999,-1.109602,-0.9485059000000001,-0.697202,-0.1195035,0.05451353,0.16990904999999837,0.29131042499999965,0.14575,dHe_tranR_fitPar_27
"r_Study[Madsen.(2020),Intercept]",0.451019804339075,0.4768376832808343,2604.750570265042,1.0012735624647975,-0.37850002499999996,-0.23449365,-0.09319818999999999,0.096412625,0.7684435,1.0967010000000001,1.2866825000000002,1.4473082499999994,0.832375,dHe_tranR_fitPar_27
"r_Study[Miller.(2020),Intercept]",-0.573158604108975,0.5013004789306248,2246.028499849396,1.0019230090976086,-1.6001800000000002,-1.4363614999999998,-1.2529529999999998,-0.91316325,-0.17826575,0.02506502000000021,0.15353434999999999,0.2714986499999999,0.120125,dHe_tranR_fitPar_27
"r_Study[Mussman.(2016),Intercept]",-0.1978680471210625,0.6176073948486402,7506.008469543343,1.000741501195649,-1.5315055,-1.2668534999999999,-0.9661821,-0.53997825,0.14865124999999998,0.4963445,0.7681856999999994,1.0515519999999994,0.37125,dHe_tranR_fitPar_27
"r_Study[Olson.(2012),Intercept]",-0.0850193917138375,0.35078109717290984,7398.456172014575,1.0009456276221296,-0.802314675,-0.6758189,-0.5333376,-0.3040095,0.124867,0.34199040000000003,0.4824931999999999,0.6140454999999994,0.4045,dHe_tranR_fitPar_27
"r_Study[Poirier.(2019),Intercept]",-0.14731048271421,0.4996005450234677,6844.178328356079,1.000113650052018,-1.1971512499999999,-0.9921398499999999,-0.7679298999999999,-0.44297175000000005,0.14703525,0.43328949999999994,0.6382386999999996,0.8321352249999996,0.3855,dHe_tranR_fitPar_27
"r_Study[Quinn.(2019),Intercept]",-0.0490377355506625,0.41231924914011225,9845.375284810894,1.0007213560663246,-0.8893154000000001,-0.72464585,-0.5579754,-0.30204,0.20063,0.45866490000000015,0.6348982999999998,0.7828572249999999,0.451125,dHe_tranR_fitPar_27
"r_Study[Ranke.(2020),Intercept]",-0.348252246644625,0.46272056388654553,3808.2176305310318,1.0011193840796255,-1.308868,-1.1521124999999999,-0.9622203,-0.6498765000000001,-0.0142463,0.18387800000000018,0.3294784999999989,0.4719979499999999,0.231,dHe_tranR_fitPar_27
"r_Study[Robinson.(2017),Intercept]",0.19559802286590125,0.3102316716237484,5308.42863773038,1.000974902069995,-0.40360949999999995,-0.29322295,-0.16944349999999997,-0.0039701075,0.39657475,0.5965189000000002,0.7218720999999994,0.8356297249999992,0.740625,dHe_tranR_fitPar_27
"r_Study[Vila.(2002),Intercept]",0.6613547862924,0.5303946960922,1849.573517147583,1.0041844882298565,-0.22295322499999998,-0.11956729999999997,-0.008937127999999999,0.24073175000000002,1.0341825,1.376844,1.5693764999999993,1.7329637499999997,0.891625,dHe_tranR_fitPar_27
"r_Study[Weeks.(2017),Intercept]",0.02524318436431625,0.45841943451663736,8067.056823513424,1.0027814974177691,-0.879720575,-0.71027665,-0.5437273999999999,-0.25190775,0.288456,0.5987277,0.8057313999999993,0.9855078499999985,0.51525,dHe_tranR_fitPar_27
meanme_medHe,0.16264322504225,0.047702942966049496,1252.9024363470387,1.0019107272622034,0.06638377250000001,0.082880805,0.1010856,0.131141,0.19478275,0.22257640000000006,0.23963255,0.25368695,0.999375,dHe_tranR_fitPar_27
sdme_medHe,0.228708637,0.03713117449725263,1935.2993000930176,1.001283333136721,0.16896192499999999,0.175323,0.18505380000000002,0.20253925,0.25027525,0.2772441,0.2947209499999999,0.315220125,1,dHe_tranR_fitPar_27
lprior,-10.2431719575,0.7336737578562519,6036.696600409848,0.9999263283795665,-12.1050675,-11.679464999999999,-11.205560000000002,-10.6121,-9.698202499999999,-9.506914000000002,-9.4367985,-9.38761975,0,dHe_tranR_fitPar_27
lp__,-59.751166125,8.855746307434524,969.2533039420655,1.005255374260169,-77.3448625,-74.79534,-71.41483,-65.770475,-53.38205,-48.54768,-45.751965000000006,-43.346115,0,dHe_tranR_fitPar_27
